target,task,model,experiment,source_layout,battery_name,mae,mape,mse,rmse,max_ae,bias,r2,pearson_r,endpoint_ae,endpoint_ape
RUL,CALB2024,Attention,experiment1,flat,CALB_35_B224,19.07827479429919,0.8370870034263764,521.7328360532156,22.841471845159532,59.80340194702149,-12.439343211626763,0.361143466057287,0.7548165082735024,30.357620239257812,30.357620239257812
SOH,MATR,GRU,experiment1,flat,MATR_b2c42,0.0100718243787342,0.011404886889106,0.0006459783627119,0.0254161043968565,0.251983642578125,-0.0072833836200038,0.8224134485169958,0.9367781096974892,0.0200806260108947,0.0267410554579821
SOH,MATR,GRU,experiment1,flat,MATR_b4c0,0.0072976040925124,0.0103520657899218,0.0003623536058435,0.0190355878775395,0.1425352692604065,-9.772961469871692e-05,0.9516555796629564,0.9869371013693838,0.1185055375099182,0.2221032002656936
SOH,MATR,LSTM,experiment1,flat,MATR_b2c20,0.0059755158874223,0.0065858644081402,0.0001331834550468,0.0115405136387806,0.1894450783729553,-0.0027274761559828,0.965116969748671,0.9834466488134584,0.037424087524414,0.0497918624779261
SOH,MATR,LSTM,experiment1,flat,MATR_b1c1,0.0049049156036942,0.0053817132255944,0.0001353988537356,0.0116361013116769,0.1376494169235229,0.0020448973711383,0.9331869687805964,0.9679025661673852,0.0217073559761047,0.0271341238080592
SOH,MATR,LSTM,experiment1,flat,MATR_b1c0,0.0058285044360122,0.0063624189515794,0.0001099716910915,0.0104867388206015,0.0846240520477294,0.0029894081304497,0.9487685052941848,0.976462865557423,0.0347309708595275,0.04327561360141
SOH,MATR,LSTM,experiment1,flat,MATR_b1c24,0.0028000421124726,0.0030374572351588,1.7705633958398737e-05,0.004207806311892,0.0432881116867065,0.0012350691363142,0.9908388766162116,0.9958959347340164,0.0099774003028869,0.0124651497369847
SOH,MATR,LSTM,experiment1,flat,MATR_b1c39,0.0037634839598286,0.0040579281410077,4.2571725359392386e-05,0.006524701170122,0.0935360789299011,-0.0013521626519927,0.9808602896362946,0.9908741061046696,0.0277631282806396,0.0346995432325878
SOH,MATR,LSTM,experiment1,flat,MATR_b1c45,0.0090280280041335,0.0095077978877549,0.0002381445832701,0.0154319338797877,0.109169065952301,-0.0057060325165689,0.9024071737560776,0.95702925024635,0.0219156742095947,0.0273621901778039
SOH,MATR,LSTM,experiment1,flat,MATR_b3c30,0.0010224571820879,0.001115919942886,2.4915429695167575e-06,0.0015784622166896,0.0125893354415893,0.0002085320563689,0.9982043701033396,0.9991350280491608,0.0077449679374694,0.009678479681926
SOH,MATR,GRU,experiment1,flat,MATR_b2c11,0.0060921124522648,0.0069271148502278,0.0001742380844095,0.013199927439557,0.1941125988960266,-0.0020732813411288,0.9481687502715904,0.9745752265689036,0.0260013341903686,0.0346646603549855
