target,model,task,dataset,mean_mae,mean_mape,mean_rmse,mean_r2,mean_pearson_r,n_batteries,n_metric_rows,performance_score,mean_abs_corr,median_abs_corr,max_abs_corr,top3_abs_corr,strong_feature_fraction,n_features,feature_quality_score,performance_rank
RUL,Attention,HNEI,HNEI,18.960241626343695,0.30827037533578805,27.08036313127208,0.9925672379051409,0.996432991974131,2,2,0.9479166666666666,0.8957209685412194,0.9573972453661839,0.9801418602551693,0.978718710390693,0.875,16,0.9515271797290272,1
RUL,Attention,XJTU,XJTU,19.199496108710004,0.1760038999292919,22.90956130882726,0.892174039320178,0.984698083505168,4,4,0.90625,0.584860791737689,0.6809069998503198,0.9658673099702948,0.8942055812063175,0.375,16,0.8149778943047671,2
RUL,Attention,NAion,NA-ion,22.291492647743535,0.753822117943999,23.966001954028503,0.730150073664594,0.9965683343888154,5,5,0.8437499999999999,0.24959343080433505,0.15653504912823335,0.6849663604743345,0.5077693966433549,0.0,16,0.4807763959740081,3
RUL,Attention,MICH,MICH,34.761614999665035,0.3521236873797063,40.522337221113006,0.916793714189611,0.9892301199583226,8,8,0.8333333333333333,0.5064231312771605,0.42206116633886814,0.9294795566397764,0.8850568449298256,0.375,16,0.7736531776155875,4
RUL,Attention,NAion42,NA-ion,23.33930752072504,0.993461520865076,24.85821480261321,0.6344599522407834,0.9947654435243886,5,5,0.75,0.24959343080433505,0.15653504912823335,0.6849663604743345,0.5077693966433549,0.0,16,0.4807763959740081,5
RUL,Attention,Stanford,Stanford,81.60586464279704,0.6155843209585925,95.49192151650065,0.8739500594505543,0.9820106855345617,8,8,0.7291666666666666,0.5858744512784766,0.7091253500485417,0.9158149683641564,0.8601016936787613,0.5,16,0.7872637044404648,6
RUL,Attention,RWTH,RWTH,140.66298270666786,0.7527929365500415,160.07657422193972,0.9201037098404049,0.9899455316356948,9,9,0.7083333333333334,0.7746738914812756,0.9225857205724362,0.960118702705342,0.9575677775661608,0.75,16,0.8974534572509262,7
RUL,Attention,MICH_EXP,MICH_EXP,38.45008631920917,0.834028423289377,45.77992751298738,0.739051884416588,0.9843875988845227,3,3,0.6875,0.12628086351906,0.13282489004930959,0.2381660167277987,0.23669971593553998,0.0,16,0.20038219872746624,8
RUL,Attention,NAion2024,NA-ion,28.892946298987557,1.0928118174396242,30.16500546622161,0.3812625437302002,0.9921308674859721,5,5,0.6875,0.24959343080433505,0.15653504912823335,0.6849663604743345,0.5077693966433549,0.0,16,0.4807763959740081,9
RUL,Attention,MATR,MATR,110.41442000055736,0.3709857165171264,136.3265566992211,0.6701526452069775,0.9728532815696276,33,33,0.6145833333333333,0.4279950893325099,0.4579427450515766,0.85207575881162,0.7744419011376169,0.25,16,0.6848375830939156,10
RUL,Attention,Stanford_2,Stanford_2,98.59883809762887,0.908030514783025,118.00929864274147,0.8032431511303044,0.9679138857931977,36,36,0.59375,0.5230818465703697,0.6322591983688142,0.8805076138120905,0.7991058035651912,0.3125,16,0.7342317546492172,11
RUL,Attention,HUST,HUST,161.80310328870198,1.031921546460629,202.8269431227507,0.815223482242024,0.9563540424050632,15,15,0.5,0.4656472153338205,0.4499080204037939,0.8060191761837487,0.8036060288406301,0.1875,16,0.6917574734527331,12
RUL,Attention,ZN-coin42,ZN-coin,105.90362744470278,0.8805518929777234,122.29274204550832,-1.171517509713812,0.9567769933820605,20,20,0.4375,0.4110900299803121,0.4764250502388606,0.6363956764754415,0.567860588081082,0.0,16,0.5384487648456119,13
RUL,Attention,SDU,SDU,86.65645705244481,1.107404044517891,110.22663886765187,-0.8068424496752834,0.9346810508360565,17,17,0.41666666666666663,0.5412679884064729,0.7124474336053608,0.8780163231613252,0.8536691388160751,0.5,16,0.7576511501279578,14
RUL,Attention,CALB42,CALB,28.117029491617224,1.3768922895217437,32.99295393471832,-0.5937657102367047,0.2782915692454333,5,5,0.40625,0.13460890401848252,0.14021436597529705,0.334454832836895,0.2533293979792701,0.0,16,0.2407977116115492,15
RUL,Attention,CALB,CALB,32.44233631950918,2.357039780516787,37.18107097644288,-0.7296277847642291,0.5245390614125534,5,5,0.3645833333333333,0.13460890401848252,0.14021436597529705,0.334454832836895,0.2533293979792701,0.0,16,0.2407977116115492,16
RUL,Attention,CALB2024,CALB,37.30591309392925,1.572106238581986,43.479365075309985,-0.6194848407431427,0.40919618609502884,5,5,0.3645833333333333,0.13460890401848252,0.14021436597529705,0.334454832836895,0.2533293979792701,0.0,16,0.2407977116115492,17
RUL,Attention,Tongji,Tongji,85.14791704754518,2.388393677569372,101.96092590559151,-0.565225006772186,0.7076074693396587,21,21,0.3541666666666667,0.1619690330978379,0.15857728576703564,0.3236319891778558,0.2773052554032158,0.0,16,0.2543020925596365,18
RUL,Attention,CALCE,CALCE,280.0501573743475,1.357014025754863,317.8079838893903,0.16837075188197692,0.8753230399027367,2,2,0.34375,0.3094574615243322,0.25471645886777317,0.759975479463217,0.6787922361404579,0.0625,16,0.5827417257093357,19
RUL,Attention,ZN-coin2024,ZN-coin,148.4129285698944,1.185829275109224,168.2710373844625,-1.665581206701821,0.8458527008742809,20,20,0.2708333333333333,0.4110900299803121,0.4764250502388606,0.6363956764754415,0.567860588081082,0.0,16,0.5384487648456119,20
RUL,Attention,UL_PUR,UL_PUR,84.24519092830884,2.9406908517361185,98.9907040791373,-1.0825280759761242,0.20731464497691654,2,2,0.22916666666666666,0.5721833711038543,0.5919703343342806,0.7397530472332431,0.7222421031555267,0.125,16,0.678059507164208,21
RUL,Attention,SNL,SNL,318.22817259989273,1.803607077299946,406.995540745785,-0.8422800432852451,0.6937100856211316,10,10,0.20833333333333334,0.3593712087732947,0.4127143623937205,0.5879159688138286,0.5807825348318784,0.0,16,0.5093565708063338,22
RUL,Attention,ZN-coin,ZN-coin,125.39865216046978,6173.601842054749,145.62751235935738,-11.105106600445763,0.9254556364959405,20,20,0.19791666666666669,0.4110900299803121,0.4764250502388606,0.6363956764754415,0.567860588081082,0.0,16,0.5384487648456119,23
RUL,Attention,ISU_ILCC,ISU_ILCC,1232.5869944917652,4.731904865677683,1513.6264292641374,-7.280846602518984,0.5892300744448369,48,48,0.10416666666666666,0.10621189738340767,0.09542576146725401,0.2243400565409862,0.2015850390214956,0.0,16,0.17737899764862983,24
RUL,CNN,HNEI,HNEI,28.723034189199332,0.2660507071087242,35.6578598255269,0.9873281395753353,0.9951666021334573,2,2,0.9270833333333334,0.8957209685412194,0.9573972453661839,0.9801418602551693,0.978718710390693,0.875,16,0.9515271797290272,1
RUL,CNN,XJTU,XJTU,17.198373452193934,0.19669811854363195,22.030446891366626,0.9042262545229622,0.984875080445104,4,4,0.90625,0.584860791737689,0.6809069998503198,0.9658673099702948,0.8942055812063175,0.375,16,0.8149778943047671,2
RUL,CNN,NAion,NA-ion,16.80902039909411,0.7111780082434922,19.055447314249513,0.8357610004963693,0.9953119653897398,5,5,0.8854166666666666,0.24959343080433505,0.15653504912823335,0.6849663604743345,0.5077693966433549,0.0,16,0.4807763959740081,3
RUL,CNN,MICH,MICH,37.535229646515226,0.5075241470070438,44.0094919333217,0.9025148367066274,0.9895240603535131,8,8,0.8229166666666666,0.5064231312771605,0.42206116633886814,0.9294795566397764,0.8850568449298256,0.375,16,0.7736531776155875,4
RUL,CNN,SDU,SDU,42.23376939066345,0.33961527007845455,58.478426707721226,0.8797880808084708,0.9535170932983713,17,17,0.71875,0.5412679884064729,0.7124474336053608,0.8780163231613252,0.8536691388160751,0.5,16,0.7576511501279578,5
RUL,CNN,NAion42,NA-ion,25.081471079397062,1.0186681936509223,27.12773846157004,0.5528701667776422,0.9910292077985734,5,5,0.7187499999999999,0.24959343080433505,0.15653504912823335,0.6849663604743345,0.5077693966433549,0.0,16,0.4807763959740081,6
RUL,CNN,RWTH,RWTH,135.68174446167816,0.9232090464577623,157.20637568170582,0.9270260720633634,0.9902066794535411,9,9,0.6979166666666666,0.7746738914812756,0.9225857205724362,0.960118702705342,0.9575677775661608,0.75,16,0.8974534572509262,7
RUL,CNN,Stanford,Stanford,96.03823962920659,0.5544255034178533,111.14055251365734,0.826408375742767,0.9799433177490052,8,8,0.6875,0.5858744512784766,0.7091253500485417,0.9158149683641564,0.8601016936787613,0.5,16,0.7872637044404648,8
