target,model,task,dataset,mean_mae,mean_mape,mean_rmse,mean_r2,mean_pearson_r,n_batteries,n_metric_rows,performance_score,mean_abs_corr,median_abs_corr,max_abs_corr,top3_abs_corr,strong_feature_fraction,n_features,feature_quality_score,performance_rank,group
RUL,Attention,HNEI,HNEI,18.960241626343695,0.30827037533578805,27.08036313127208,0.9925672379051409,0.996432991974131,2,2,0.9479166666666666,0.8957209685412194,0.9573972453661839,0.9801418602551693,0.978718710390693,0.875,16,0.9515271797290272,1,性能最好
RUL,Attention,XJTU,XJTU,19.199496108710004,0.1760038999292919,22.90956130882726,0.892174039320178,0.984698083505168,4,4,0.90625,0.584860791737689,0.6809069998503198,0.9658673099702948,0.8942055812063175,0.375,16,0.8149778943047671,2,性能最好
RUL,Attention,NAion,NA-ion,22.291492647743535,0.753822117943999,23.966001954028503,0.730150073664594,0.9965683343888154,5,5,0.8437499999999999,0.24959343080433505,0.15653504912823335,0.6849663604743345,0.5077693966433549,0.0,16,0.4807763959740081,3,性能最好
RUL,Attention,ISU_ILCC,ISU_ILCC,1232.5869944917652,4.731904865677683,1513.6264292641374,-7.280846602518984,0.5892300744448369,48,48,0.10416666666666666,0.10621189738340767,0.09542576146725401,0.2243400565409862,0.2015850390214956,0.0,16,0.17737899764862983,24,性能最差
RUL,Attention,ZN-coin,ZN-coin,125.39865216046978,6173.601842054749,145.62751235935738,-11.105106600445763,0.9254556364959405,20,20,0.19791666666666669,0.4110900299803121,0.4764250502388606,0.6363956764754415,0.567860588081082,0.0,16,0.5384487648456119,23,性能最差
RUL,Attention,SNL,SNL,318.22817259989273,1.803607077299946,406.995540745785,-0.8422800432852451,0.6937100856211316,10,10,0.20833333333333334,0.3593712087732947,0.4127143623937205,0.5879159688138286,0.5807825348318784,0.0,16,0.5093565708063338,22,性能最差
RUL,CNN,HNEI,HNEI,28.723034189199332,0.2660507071087242,35.6578598255269,0.9873281395753353,0.9951666021334573,2,2,0.9270833333333334,0.8957209685412194,0.9573972453661839,0.9801418602551693,0.978718710390693,0.875,16,0.9515271797290272,1,性能最好
RUL,CNN,XJTU,XJTU,17.198373452193934,0.19669811854363195,22.030446891366626,0.9042262545229622,0.984875080445104,4,4,0.90625,0.584860791737689,0.6809069998503198,0.9658673099702948,0.8942055812063175,0.375,16,0.8149778943047671,2,性能最好
RUL,CNN,NAion,NA-ion,16.80902039909411,0.7111780082434922,19.055447314249513,0.8357610004963693,0.9953119653897398,5,5,0.8854166666666666,0.24959343080433505,0.15653504912823335,0.6849663604743345,0.5077693966433549,0.0,16,0.4807763959740081,3,性能最好
RUL,CNN,ISU_ILCC,ISU_ILCC,1089.821150078674,4.0545813712318335,1379.9818258096202,-6.056612807753591,0.6590073449790009,48,48,0.11458333333333331,0.10621189738340767,0.09542576146725401,0.2243400565409862,0.2015850390214956,0.0,16,0.17737899764862983,24,性能最差
RUL,CNN,CALB2024,CALB,93.09383876935028,3.9882525630769345,173.5073850971404,-26.838951986788864,0.49089143732433166,5,5,0.11458333333333333,0.13460890401848252,0.14021436597529705,0.334454832836895,0.2533293979792701,0.0,16,0.2407977116115492,23,性能最差
RUL,CNN,ZN-coin,ZN-coin,129.09003786824948,6382.060384835126,151.53121873033942,-10.38859355813205,0.93986515774244,20,20,0.21875,0.4110900299803121,0.4764250502388606,0.6363956764754415,0.567860588081082,0.0,16,0.5384487648456119,22,性能最差
RUL,GRU,XJTU,XJTU,20.363342550637654,0.2157273746617877,25.342570162475948,0.8495790146862124,0.9951276095996852,4,4,0.9375,0.584860791737689,0.6809069998503198,0.9658673099702948,0.8942055812063175,0.375,16,0.8149778943047671,1,性能最好
RUL,GRU,HNEI,HNEI,24.12106765476907,0.4773847769204863,36.52574298486357,0.9862304633648726,0.994406955078524,2,2,0.8948863636363636,0.8957209685412194,0.9573972453661839,0.9801418602551693,0.978718710390693,0.875,16,0.9515271797290272,2,性能最好
RUL,GRU,MICH,MICH,35.745573396884424,0.3868718392979686,41.26041711419529,0.9112132955580243,0.9935457395111637,8,8,0.8522727272727273,0.5064231312771605,0.42206116633886814,0.9294795566397764,0.8850568449298256,0.375,16,0.7736531776155875,3,性能最好
RUL,GRU,ISU_ILCC,ISU_ILCC,1459.625403636507,5.399649631537948,1838.6237689711588,-11.670427632464984,0.5254432085698368,48,48,0.07575757575757575,0.10621189738340767,0.09542576146725401,0.2243400565409862,0.2015850390214956,0.0,16,0.17737899764862983,24,性能最差
RUL,GRU,UL_PUR,UL_PUR,111.44927375974366,3.4609479390232942,124.05592117850705,-2.2713089354419074,0.3867748758771318,2,2,0.18939393939393942,0.5721833711038543,0.5919703343342806,0.7397530472332431,0.7222421031555267,0.125,16,0.678059507164208,23,性能最差
RUL,GRU,CALCE,CALCE,478.3618414350294,3.3105696964439866,510.3544937641669,-1.4189041874917558,0.8660884930354136,2,2,0.19412878787878785,0.3094574615243322,0.25471645886777317,0.759975479463217,0.6787922361404579,0.0625,16,0.5827417257093357,22,性能最差
RUL,LSTM,HNEI,HNEI,26.967626228733824,0.3048113606095803,39.6406686923241,0.9827350690400162,0.9948699076865761,2,2,0.9375,0.8957209685412194,0.9573972453661839,0.9801418602551693,0.978718710390693,0.875,16,0.9515271797290272,1,性能最好
RUL,LSTM,MICH,MICH,34.838122786762995,0.34681055608254224,40.086839126234835,0.9153303840425525,0.9936694317578889,8,8,0.8819444444444444,0.5064231312771605,0.42206116633886814,0.9294795566397764,0.8850568449298256,0.375,16,0.7736531776155875,2,性能最好
RUL,LSTM,XJTU,XJTU,18.845329130190922,0.18833579478315543,22.892243510594305,0.8871359559687173,0.9818623043423649,4,4,0.875,0.584860791737689,0.6809069998503198,0.9658673099702948,0.8942055812063175,0.375,16,0.8149778943047671,3,性能最好
RUL,LSTM,ISU_ILCC,ISU_ILCC,1264.6005268674035,3.8988598480514516,1592.5533257292307,-7.542471057480577,0.5441863722448663,48,48,0.06944444444444442,0.10621189738340767,0.09542576146725401,0.2243400565409862,0.2015850390214956,0.0,16,0.17737899764862983,24,性能最差
RUL,LSTM,ZN-coin,ZN-coin,126.92617929243659,6517.2313682722015,143.08496613276625,-6.304687087107249,0.9305648075922935,20,20,0.21180555555555555,0.4110900299803121,0.4764250502388606,0.6363956764754415,0.567860588081082,0.0,16,0.5384487648456119,23,性能最差
RUL,LSTM,MICH_EXP,MICH_EXP,122.09779725370838,3.828370310058613,138.44661777741723,-2.3352051106095453,,3,3,0.22222222222222224,0.12628086351906,0.13282489004930959,0.2381660167277987,0.23669971593553998,0.0,16,0.20038219872746624,22,性能最差
RUL,MLP,XJTU,XJTU,13.694187495963869,0.18917392590561047,16.16714498617325,0.9427240626230976,0.9950537938722215,4,4,0.9776785714285714,0.584860791737689,0.6809069998503198,0.9658673099702948,0.8942055812063175,0.375,16,0.8149778943047671,1,性能最好
RUL,MLP,HNEI,HNEI,22.53819660730458,0.40004921865567616,34.24982323989549,0.9878911240572209,0.9948112868582848,2,2,0.9032738095238094,0.8957209685412194,0.9573972453661839,0.9801418602551693,0.978718710390693,0.875,16,0.9515271797290272,2,性能最好
