target,task,model,experiment,source_layout,battery_name,mae,mape,mse,rmse,max_ae,bias,r2,pearson_r,endpoint_ae,endpoint_ape,dataset_folder,n_cycles,cycle_min,cycle_max,SOH_min,SOH_max,SOH_range,RUL_min,RUL_max,RUL_range,feature_rows,mean_abs_feature_corr,median_abs_feature_corr,max_abs_feature_corr,effective_feature_rank,zero_cv_fraction,voltage_mean__mean,voltage_mean__std,voltage_mean__spearman_cycle,voltage_mean__spearman_SOH,voltage_mean__spearman_RUL,voltage_std__mean,voltage_std__std,voltage_std__spearman_cycle,voltage_std__spearman_SOH,voltage_std__spearman_RUL,voltage_kurtosis__mean,voltage_kurtosis__std,voltage_kurtosis__spearman_cycle,voltage_kurtosis__spearman_SOH,voltage_kurtosis__spearman_RUL,voltage_skewness__mean,voltage_skewness__std,voltage_skewness__spearman_cycle,voltage_skewness__spearman_SOH,voltage_skewness__spearman_RUL,CC_Q__mean,CC_Q__std,CC_Q__spearman_cycle,CC_Q__spearman_SOH,CC_Q__spearman_RUL,CC_charge_time__mean,CC_charge_time__std,CC_charge_time__spearman_cycle,CC_charge_time__spearman_SOH,CC_charge_time__spearman_RUL,voltage_slope__mean,voltage_slope__std,voltage_slope__spearman_cycle,voltage_slope__spearman_SOH,voltage_slope__spearman_RUL,voltage_entropy__mean,voltage_entropy__std,voltage_entropy__spearman_cycle,voltage_entropy__spearman_SOH,voltage_entropy__spearman_RUL,current_mean__mean,current_mean__std,current_mean__spearman_cycle,current_mean__spearman_SOH,current_mean__spearman_RUL,current_std__mean,current_std__std,current_std__spearman_cycle,current_std__spearman_SOH,current_std__spearman_RUL,current_kurtosis__mean,current_kurtosis__std,current_kurtosis__spearman_cycle,current_kurtosis__spearman_SOH,current_kurtosis__spearman_RUL,current_skewness__mean,current_skewness__std,current_skewness__spearman_cycle,current_skewness__spearman_SOH,current_skewness__spearman_RUL,CV_Q__mean,CV_Q__std,CV_Q__spearman_cycle,CV_Q__spearman_SOH,CV_Q__spearman_RUL,CV_charge_time__mean,CV_charge_time__std,CV_charge_time__spearman_cycle,CV_charge_time__spearman_SOH,CV_charge_time__spearman_RUL,current_slope__mean,current_slope__std,current_slope__spearman_cycle,current_slope__spearman_SOH,current_slope__spearman_RUL,current_entropy__mean,current_entropy__std,current_entropy__spearman_cycle,current_entropy__spearman_SOH,current_entropy__spearman_RUL
RUL,CALB2024,Attention,experiment1,flat,CALB_35_B224,19.07827479429919,0.8370870034263764,521.7328360532156,22.841471845159532,59.80340194702149,-12.439343211626763,0.361143466057287,0.7548165082735024,30.357620239257812,30.357620239257812,CALB,99,2.0,100.0,1.0230491379310345,1.0257667241379311,0.0027175862068966605,-1.0,97.0,98.0,99,0.37680994059001155,0.2804243841738399,0.9930488559059991,4.702781054145499,0.0,4.170228964622916,0.0009220472076227938,0.03071756782722827,0.12457096209862273,-0.030717567827228266,0.13196538458270754,0.0004778756869562165,-0.15479282622139764,0.17224489795918363,0.15479282622139764,-0.2679139830929142,0.010656533618810925,0.29314780457637596,-0.10609771181199752,-0.29314780457637596,-0.9029556825514641,0.0035760459956173307,-0.722795299938157,0.5118367346938775,0.722795299938157,28.269551414141418,0.10657417112528209,0.5332096474953618,-0.303030303030303,-0.5332096474953618,4602.393939393939,18.66231506835567,0.6737659780453448,-0.47968820894419534,-0.6737659780453447,9.25366414770608e-05,5.181400394794621e-07,-0.6108967223252938,0.4193197278911564,0.6108967223252938,0.9320422381478426,0.002752137197055193,0.23206229698791528,-0.09348296151491717,-0.23206229698791528,5.380397936179982,0.10269141174841584,-0.08995670995670996,0.168447742733457,0.08995670995670996,2.1711246789354943,0.040251799865393234,0.10585034013605442,-0.030179344465058752,-0.10585034013605442,-1.228291186879046,0.17591114480648506,-0.0009523809523809525,-0.07725417439703154,0.0009523809523809525,0.5363255744159422,0.07539605844506468,0.043351886209029064,-0.12477427334570189,-0.043351886209029064,0.47421545454545455,0.020262150412335478,-0.21276437847866417,0.304465058750773,0.21276437847866417,313.24242424242425,8.888298784782696,-0.3449665413325087,0.43583293680890184,0.3449665413325087,-0.020132830543364393,0.0002834353526828655,-0.40401978973407543,0.41933209647495356,0.40401978973407543,0.5915911102841901,0.016024604267326985,-0.2514014387333366,0.08790614065776399,0.2514014387333366
SOH,MATR,GRU,experiment1,flat,MATR_b2c42,0.0100718243787342,0.011404886889106,0.0006459783627119,0.0254161043968565,0.251983642578125,-0.0072833836200038,0.8224134485169958,0.9367781096974892,0.0200806260108947,0.0267410554579821,MATR,491,1.0,491.0,0.7509286818181817,0.9855549999999998,0.23462631818181812,0.0,490.0,490.0,491,0.4926827874120002,0.49439471631679577,0.9796906808369238,4.377510977243859,0.0,3.309789381182597,0.7513621614571561,0.6720792033411617,-0.6678025765596343,-0.6720792033411617,0.04692148542011171,0.013266784850399647,0.13708587824503,-0.13639178125939913,-0.13708587824503,-0.3491459041001233,0.7279062263259183,-0.7932644239583091,0.7924906365303989,0.793264423958309,0.556876314430252,0.49176777679056005,-0.9587774524594624,0.9559174561882724,0.9587774524594624,0.12609080867617103,0.06563634700116391,-0.9629728814800567,0.9715251986037671,0.9629728814800566,509.98655356415725,319.1262330480198,-0.9815052755995409,0.9946330974183675,0.981505275599541,0.0004772969092822245,0.0006927441805752935,0.5326624731552294,-0.5239926870852782,-0.5326624731552294,0.8423035838069983,0.24906005301606018,0.008073823769487662,-0.002926594461101748,-0.00807382376948766,0.2272245629371727,0.016626139175693756,0.6885148197672591,-0.6894524537747143,-0.6885148197672591,0.10884443748120187,0.0077104617415746325,0.480078850873716,-0.48144368670919757,-0.480078850873716,-0.3078393970729296,0.5561825582250243,-0.6400517427178511,0.6434292121299366,0.6400517427178511,0.8304156431936272,0.23987893459130283,-0.6713802146957835,0.6741554045491824,0.6713802146957835,0.019987229816700553,0.004868443469792026,0.6591278315585932,-0.682724194351594,-0.6591278315585932,318.46112403258905,140.75929749239276,0.4178282508229204,-0.43474434335036416,-0.41782825082292036,-0.0012234373812362676,0.0002957798335099247,0.2821264594457325,-0.2942673448098627,-0.2821264594457325,0.863484597343036,0.03557829372624695,0.740098210805866,-0.7428461304398105,-0.740098210805866
SOH,MATR,GRU,experiment1,flat,MATR_b4c0,0.0072976040925124,0.0103520657899218,0.0003623536058435,0.0190355878775395,0.1425352692604065,-9.772961469871692e-05,0.9516555796629564,0.9869371013693838,0.1185055375099182,0.2221032002656936,MATR,982,1.0,982.0,0.5335606727272727,0.9489267272727272,0.4153660545454545,0.0,981.0,981.0,982,0.3920889915227622,0.34994085144638987,0.9788791475170456,3.8240261520837118,0.0,3.2572781672124704,0.8825459719109938,0.6402315398045473,-0.6430440432917109,-0.6402315398045474,0.03995385795867955,0.017588288535504155,-0.8646527997784134,0.8643520863809813,0.8646527997784133,-0.3665087962419582,0.3762710597017379,0.28469327721688736,-0.281567720158583,-0.28469327721688736,0.8279723950644768,0.39933461573615214,-0.2915018920680086,0.29425329410430484,0.2915018920680086,0.14817372332993886,0.07426933812148867,-0.9319531080621227,0.9369544160799426,0.9319531080621228,347.8396696537684,179.67368927268075,-0.991957556421008,0.9949338749822113,0.991957556421008,7.879804111795872e-05,0.00014322795833831238,-0.5052357640239497,0.5075629323355112,0.5052357640239497,0.7253871700097072,0.26494688069904515,-0.647651457016759,0.6466710192061605,0.6476514570167589,0.21971007873819834,0.01339756290328523,0.6993173770170682,-0.698651675669944,-0.6993173770170682,0.108275401650563,0.005971796685001732,0.6091390797971744,-0.6073823013806129,-0.6091390797971744,-0.0629841618250186,0.4123471733556716,-0.6896975978164419,0.6900323176189078,0.6896975978164419,0.9559269082940048,0.18462316733942197,-0.6962717486849619,0.6971650529082916,0.6962717486849619,0.01197256618126268,0.006588857298598609,-0.2636227866179164,0.2613713289523782,0.2636227866179164,245.34526334012597,156.37717378813272,-0.27786939501536523,0.2767476832257825,0.27786939501536523,-0.001608102969134613,0.00036645460641593396,-0.2838442362758625,0.2823502637191987,0.2838442362758625,0.855536451932096,0.037123680808967295,0.0072423289144839,-0.008278547737291196,-0.0072423289144839
SOH,MATR,LSTM,experiment1,flat,MATR_b2c20,0.0059755158874223,0.0065858644081402,0.0001331834550468,0.0115405136387806,0.1894450783729553,-0.0027274761559828,0.965116969748671,0.9834466488134584,0.037424087524414,0.0497918624779261,MATR,530,1.0,530.0,0.751610509090909,0.9904489999999998,0.23883849090909082,0.0,529.0,529.0,530,0.5031007457626042,0.5083525661590282,0.9800726448811854,3.8281872580016363,0.0,3.2746474271089627,0.8172556726512489,0.6482758277814826,-0.6472164275642213,-0.6482758277814826,0.04605600147773722,0.013152850186662499,0.05437315081884874,-0.058314434679047754,-0.054373150818848734,-0.1456534069120992,0.8162887711172654,-0.8070104389721776,0.807149661660387,0.8070104389721776,0.6416594942052407,0.5166562869994725,-0.9708725953280379,0.96992704602478,0.9708725953280379,0.12485284581132072,0.06729783458967205,-0.9677979718627175,0.969482913036005,0.9677979718627174,514.3928435849051,330.68686981514884,-0.9898943920990824,0.9950741075843083,0.9898943920990823,0.0004978348717824384,0.0007024527811733373,0.5361014082629973,-0.5332324390760026,-0.5361014082629973,0.8323758662858816,0.25152792240681293,-0.01802732819027289,0.017539806788123835,0.01802732819027289,0.22811220147289568,0.01846721615205316,0.7369430911412664,-0.736351459703471,-0.7369430911412664,0.10964832928070713,0.008173621272039775,0.5736271017172828,-0.5739426653520198,-0.5736271017172828,-0.32703972942278875,0.5674742026083549,-0.7109056656166015,0.7085048832767193,0.7109056656166015,0.8235133512916617,0.25685372099606707,-0.740354644357164,0.7383237525715113,0.740354644357164,0.01886494733962259,0.00430364346231745,0.6514640359218621,-0.660157632700453,-0.6514640359218621,298.6612396226393,129.66997013159508,0.3713017753566325,-0.3769559689987806,-0.3713017753566325,-0.001289281372434515,0.0003063262490814213,0.14329599566674306,-0.14818001797060343,-0.14329599566674306,0.8621262493425232,0.0384378549272479,0.7607245906155853,-0.7649267058030159,-0.7607245906155853
SOH,MATR,LSTM,experiment1,flat,MATR_b1c1,0.0049049156036942,0.0053817132255944,0.0001353988537356,0.0116361013116769,0.1376494169235229,0.0020448973711383,0.9331869687805964,0.9679025661673852,0.0217073559761047,0.0271341238080592,MATR,2158,1.0,2158.0,0.8000021090909091,0.9859904545454544,0.18598834545454535,0.0,2157.0,2157.0,2158,0.4836429853045881,0.402753319181269,0.9889425166121784,5.522998146612176,0.0,3.48111966040752,0.030387990485166338,0.9796840207512783,-0.9806299405385437,-0.9796840207512783,0.04748831447736581,0.0071436052105767495,0.328879819345573,-0.33009030516224075,-0.328879819345573,-0.3359724164874516,1.5970219845597982,-0.7038363777887274,0.7045730528212317,0.7038363777887274,0.518986364304753,0.6826643347725487,-0.9775436555641692,0.9780976046686095,0.9775436555641692,0.18823325561631135,0.015189996453791613,-0.8921128733228444,0.8946504352102325,0.8921128733228444,529.4672236793389,117.77746376723096,-0.9776428045344727,0.9790339292872342,0.9776428045344727,4.025936610453194e-05,0.00010537467346808697,-0.8931621312315412,0.8935126896435444,0.8931621312315412,0.9071157479626484,0.05836912989812619,0.4162641289769512,-0.4172657882979452,-0.41626412897695114,0.21509447933767628,0.00971969438041111,0.24964894521045272,-0.25063982318097283,-0.24964894521045272,0.10401500886089034,0.005918041438958945,0.1409170905056285,-0.1414461050470744,-0.1409170905056285,0.09792112053437367,0.404200143006203,-0.15253253536563977,0.15270767937925733,0.15253253536563977,1.0039106433115457,0.14094063373333632,-0.18780235730590433,0.18810816222495183,0.18780235730590433,0.011166325551436469,0.002250753065281906,-0.9632974883653687,0.961757926073338,0.9632974883653687,173.1469607970368,36.88728089815161,-0.9370558506436087,0.9357122041496995,0.9370558506436087,-0.0019644744760620157,0.0004288695265551943,-0.9170689557875886,0.9158444486150721,0.9170689557875886,0.7966702051269016,0.030373085540906588,-0.7745026743553923,0.772744776422743,0.7745026743553923
SOH,MATR,LSTM,experiment1,flat,MATR_b1c0,0.0058285044360122,0.0063624189515794,0.0001099716910915,0.0104867388206015,0.0846240520477294,0.0029894081304497,0.9487685052941848,0.976462865557423,0.0347309708595275,0.04327561360141,MATR,1849,1.0,1849.0,0.8018360909090908,0.9791658181818182,0.17732972727272744,0.0,1848.0,1848.0,1849,0.42400636562996363,0.3187838442546185,0.986714720240951,5.189417751890853,0.0,3.483245914455648,0.03164425338969306,0.9712504591574359,-0.9613640872158988,-0.9712504591574359,0.04791833380511293,0.007223473556818597,0.28757009044191306,-0.27600335889681477,-0.28757009044191306,-0.3061407468284015,2.0029369874975442,-0.5887509152300932,0.5803241865059063,0.5887509152300932,0.4354165517439803,0.7627888475823361,-0.9638423129499385,0.9563525900086203,0.9638423129499385,0.18761004370470521,0.012820654241069644,-0.8522586183742792,0.8496488671694549,0.8522586183742792,515.15989372634,117.09195593867055,-0.9736493481815277,0.9651383679831488,0.9736493481815277,1.749771050896666e-05,0.00011250589789053904,-0.905763949701213,0.8981515190114433,0.905763949701213,0.9041930589245183,0.05786136841509854,0.3111823535523172,-0.3004454938159079,-0.3111823535523172,0.21576405872905638,0.00919279780265245,-0.038768191888797626,0.041314641536383014,0.038768191888797626,0.10444630016137989,0.006338234472930757,0.005082327521483822,-0.005998575117017518,-0.005082327521483822,0.07648439495630593,0.43525391299948785,0.06558076890148279,-0.06966238853745614,-0.06558076890148279,0.9942818535279406,0.1461830143294555,0.06911046373999322,-0.07323117748753226,-0.06911046373999322,0.010898870535424505,0.0021488538733729057,-0.9508651385633078,0.9396208735453254,0.9508651385633078,169.037956408864,34.41602971738557,-0.9350144632936349,0.9230698572896776,0.9350144632936349,-0.002009541758431287,0.00037995743995483,-0.9104782849617895,0.8993847166967772,0.9104782849617895,0.7938356652224087,0.030836186913908638,-0.7972393676204437,0.788937513192297,0.7972393676204437
SOH,MATR,LSTM,experiment1,flat,MATR_b1c24,0.0028000421124726,0.0030374572351588,1.7705633958398737e-05,0.004207806311892,0.0432881116867065,0.0012350691363142,0.9908388766162116,0.9958959347340164,0.0099774003028869,0.0124651497369847,MATR,1015,1.0,1015.0,0.8004236181818181,0.9809772727272726,0.18055365454545458,0.0,1014.0,1014.0,1015,0.502750751421312,0.5078174119938825,0.9790465676690968,5.159833510785511,0.0,3.425076383996595,0.4347177509944667,0.89836453250306,-0.898891218641803,-0.89836453250306,0.04348334259645996,0.0081872412705659,0.2976463250566528,-0.29811621702303,-0.2976463250566528,-0.262839491995095,0.7504195643341666,-0.7936825739985676,0.7941029490063676,0.7936825739985677,0.5345184107051478,0.5756998014609154,-0.9808320326629127,0.9811325261987336,0.9808320326629129,0.18146477481773396,0.03855394314682701,-0.8631338852276549,0.8685809626727161,0.8631338852276548,542.9751997044373,144.65775215526764,-0.9916168138646255,0.994275969973677,0.9916168138646256,8.997370882023897e-05,0.0001149039075478654,-0.8558520268902248,0.8560403536740406,0.8558520268902248,0.8823060740947989,0.16067907078005178,0.40837799777717676,-0.408921926713129,-0.40837799777717676,0.22045860927177643,0.011373325859244936,0.737792946000093,-0.7373406403405559,-0.737792946000093,0.10655974836341031,0.006601552254384982,0.599783508748817,-0.5996982853287509,-0.599783508748817,-0.1167608526302368,0.4395754786698255,-0.6941900013977542,0.6928458411670475,0.6941900013977542,0.9257432272108206,0.1660412304618759,-0.7086794573041152,0.7069248014710527,0.7086794573041152,0.013239938817733941,0.001993857698360896,0.04164493625402627,-0.04681622567025656,-0.04164493625402627,200.5456656157616,35.26999476811042,-0.2472515891880587,0.24452481458433808,0.2472515891880587,-0.0017388220298112408,0.0002705129117929149,-0.43477819200369794,0.4319374470303272,0.43477819200369794,0.814249936995143,0.02284769418434511,0.3464216265200043,-0.3496359351408215,-0.34642162652000436
SOH,MATR,LSTM,experiment1,flat,MATR_b1c39,0.0037634839598286,0.0040579281410077,4.2571725359392386e-05,0.006524701170122,0.0935360789299011,-0.0013521626519927,0.9808602896362946,0.9908741061046696,0.0277631282806396,0.0346995432325878,MATR,623,1.0,623.0,0.8001006727272727,0.9876969999999998,0.18759632727272713,0.0,622.0,622.0,623,0.4652286318002865,0.4392339174273549,0.9779005770333505,5.4016216435370055,0.0,3.4581507934555167,0.2795094705616291,0.9305687835712967,-0.930640643509726,-0.9305687835712968,0.04676182451526947,0.01004407408790896,0.14124589502164883,-0.14027141439435448,-0.14124589502164883,-0.36851443406830325,0.8858552454950771,-0.7935111464900161,0.793900670850454,0.793511146490016,0.6170074633961655,0.5235519025744063,-0.9831073647374299,0.9837124225082602,0.9831073647374298,0.159924702600321,0.061342372558663004,-0.9613770856678399,0.9638377038722585,0.9613770856678399,511.7850221508818,201.17839214756665,-0.9895244821485247,0.9948810983365608,0.9895244821485247,0.000328449740686155,0.0007065821447296919,0.15209380979393933,-0.1517227350754282,-0.15209380979393933,0.8739480799854358,0.18163106533085718,0.24780136923436785,-0.2484824538969368,-0.24780136923436782,0.22475430120877235,0.013371413420565099,0.7924532384411715,-0.7883659071879384,-0.7924532384411715,0.10868831405679143,0.006840023825864131,0.5928558327037319,-0.590493983418222,-0.5928558327037319,-0.25500648337230514,0.47222913990927184,-0.7579082150192017,0.7546666771214262,0.7579082150192017,0.872305023702167,0.18782352320949008,-0.786968608724272,0.7834988857740763,0.786968608724272,0.016735149614767204,0.0025460686594977596,0.41363663799486,-0.4234094150778939,-0.41363663799486,247.58726035313066,35.77040807984898,0.20794824812057486,-0.21597167625579686,-0.20794824812057486,-0.0014401936598197394,0.00020456970396688263,-0.007063563085276298,-0.001796597491889952,0.007063563085276298,0.8495623241846086,0.026808919915088405,0.7251576030343986,-0.727333971536918,-0.7251576030343985
SOH,MATR,LSTM,experiment1,flat,MATR_b1c45,0.0090280280041335,0.0095077978877549,0.0002381445832701,0.0154319338797877,0.109169065952301,-0.0057060325165689,0.9024071737560776,0.95702925024635,0.0219156742095947,0.0273621901778039,MATR,597,1.0,597.0,0.8009473818181818,0.9894893636363636,0.18854198181818183,0.0,596.0,596.0,597,0.4249704734826715,0.46268565560648306,0.9848512497035087,6.011460200750339,0.0,3.4337889220103768,0.47282856157320585,0.7016928254866202,-0.7025820567517406,-0.7016928254866202,0.03781816180217764,0.018956157284517015,-0.1578742500597421,0.15754614486070154,0.1578742500597421,-0.26383309808893934,0.8364377374343742,-0.7280406714773595,0.7274900653343994,0.7280406714773596,0.4810633941047685,0.5801029752974518,-0.8478579109676472,0.8480824398023389,0.8478579109676471,0.12379892338358454,0.08208417871675533,-0.7502044486529923,0.752540351100052,0.7502044486529924,401.14173534338386,268.73001036410216,-0.7724595835513152,0.7770502503374584,0.7724595835513152,0.00033131320425376415,0.0006340810536918175,0.30139804821392807,-0.30008905177527784,-0.30139804821392807,0.7236532996652322,0.3608169051263825,0.06345135538678102,-0.06222045828908227,-0.06345135538678101,0.22696101206699623,0.013444037686460393,0.6540547680152914,-0.6558542507132622,-0.6540547680152914,0.11021340965124153,0.007740402158832065,0.6063016931980952,-0.6082794475660983,-0.6063016931980952,-0.3559380872933341,0.47194573345998025,-0.6366980578635585,0.6386091790715094,0.6366980578635585,0.8410148005664387,0.18337752147967973,-0.6357832912175972,0.6376433163218412,0.6357832912175972,0.016063539380234464,0.0015068675105649081,0.6211822042852014,-0.6346477117451631,-0.6211822042852014,235.323518760474,22.799980027346916,0.18748314772642508,-0.19728587943571796,-0.18748314772642505,-0.0015302956126260485,0.00016930933522012144,-0.29137624329589407,0.2877313365289351,0.29137624329589407,0.8480338647338341,0.022147083640484625,0.6470391656965724,-0.6506904593273102,-0.6470391656965724
SOH,MATR,LSTM,experiment1,flat,MATR_b3c30,0.0010224571820879,0.001115919942886,2.4915429695167575e-06,0.0015784622166896,0.0125893354415893,0.0002085320563689,0.9982043701033396,0.9991350280491608,0.0077449679374694,0.009678479681926,MATR,933,1.0,933.0,0.8002256818181818,0.9748542727272724,0.17462859090909066,0.0,932.0,932.0,933,0.5961446325773797,0.6693406768222062,0.9747369557663358,5.174454781055531,0.0,3.460255970769478,0.2288952072141835,0.9719416198531046,-0.973092797806368,-0.9719416198531045,0.04633733192869549,0.008287957454704781,0.05848792800187499,-0.05749125202220225,-0.05848792800187499,-0.11492520452093277,0.5468187995686575,-0.9058966634474913,0.9065211967396758,0.9058966634474913,0.9987573280864601,0.33301406138224615,-0.9723075332798043,0.9728957200104149,0.9723075332798042,0.18381561266881027,0.0389983888708267,-0.8212171453492807,0.8270261552829182,0.8212171453492806,495.24971318328136,126.181997538303,-0.9853416004747617,0.9892246616588474,0.9853416004747617,0.0001282548428229573,0.0001457259629776735,-0.790169445325555,0.7898127223522928,0.7901694453255549,0.8326118604631905,0.10926234363135574,0.29375833568231285,-0.2945349482395417,-0.29375833568231285,0.23528237279238703,0.006364314969915322,0.792530477268455,-0.7911040473602113,-0.792530477268455,0.11294985660773992,0.0027787606424021305,0.46661531849924975,-0.4645866725935389,-0.46661531849924975,-0.5825181347474542,0.12982524993938027,-0.8432878585515147,0.8423124457688136,0.8432878585515147,0.7304747436699949,0.07799455673532628,-0.8635478473973323,0.8625986905781291,0.8635478473973323,0.008173020782422243,0.0009764274655534046,-0.7318493334592091,0.7307533823943071,0.7318493334592092,200.32636591640716,18.806425479565856,-0.8194474886728907,0.8184932781852973,0.8194474886728907,-0.0018315654118134714,0.00017687112805279438,-0.8379429761998302,0.837018818933897,0.8379429761998302,0.8801686952447666,0.010101575108359394,-0.37507818331466997,0.37311682131752705,0.3750781833146699
