target,task,dataset,mean_mae,mean_mape,mean_rmse,mean_r2,mean_pearson_r,median_mape,median_r2,n_metric_rows,n_batteries,n_models,mean_abs_corr,median_abs_corr,max_abs_corr,top3_abs_corr,strong_feature_fraction,very_strong_feature_fraction,n_features,performance_score,feature_quality_score,quadrant
RUL,CALB,CALB,29.39489822430081,2.445294762773016,33.454945317513086,-0.6453548565088703,0.5027900859136227,2.3202887647376595,-0.0554917487522086,25,5,5,0.13460890401848252,0.14021436597529705,0.334454832836895,0.2533293979792701,0.0,0.0,16,0.38541666666666663,0.2407977116115492,低相关-差预测
RUL,CALB2024,CALB,45.93545518479424,2.406237624216169,66.87466770684544,-5.5919792885360255,0.4500438117096802,2.37736620345619,-0.000743367738935,25,5,5,0.13460890401848252,0.14021436597529705,0.334454832836895,0.2533293979792701,0.0,0.0,16,0.28124999999999994,0.2407977116115492,低相关-差预测
RUL,CALB42,CALB,32.438326773972946,2.09434163650742,36.56405426836258,-1.893124349674609,0.27684518696244176,1.86401112818964,-0.0003524714057889,25,5,5,0.13460890401848252,0.14021436597529705,0.334454832836895,0.2533293979792701,0.0,0.0,16,0.34375,0.2407977116115492,低相关-差预测
RUL,CALCE,CALCE,410.3363167478109,2.171871421511492,441.517481593172,-0.9896291480309223,0.8844974422521801,1.6899984417649627,0.12140816522614956,10,2,5,0.3094574615243322,0.25471645886777317,0.759975479463217,0.6787922361404579,0.0625,0.0,16,0.2708333333333333,0.5827417257093357,高相关-差预测
RUL,HNEI,HNEI,24.2620332612701,0.351313287726051,34.63089157477643,0.9873504067885172,0.9951375487461946,0.40004921865567616,0.9897854051855414,10,2,5,0.8957209685412194,0.9573972453661839,0.9801418602551693,0.978718710390693,0.875,0.75,16,0.9375,0.9515271797290272,高相关-好预测
RUL,HUST,HUST,173.0700542093508,1.1602909283930896,215.90955003935224,0.7871941644645742,0.948137627020717,0.9258404953846124,0.8520466266508092,75,15,5,0.4656472153338205,0.4499080204037939,0.8060191761837487,0.8036060288406301,0.1875,0.0,16,0.5104166666666666,0.6917574734527331,高相关-差预测
RUL,ISU_ILCC,ISU_ILCC,1298.2903214629675,4.758991366580958,1615.0412729642692,-13.534416335807169,0.568350179135172,3.1119896643645424,-0.8928230293342672,240,48,5,0.10621189738340767,0.09542576146725401,0.2243400565409862,0.2015850390214956,0.0,0.0,16,0.10416666666666666,0.17737899764862983,低相关-差预测
RUL,MATR,MATR,113.40563934625543,0.44924096064428615,140.64173712057251,0.6692277712464151,0.9702239482307367,0.4432980229791012,0.844568891332663,165,33,5,0.4279950893325099,0.4579427450515766,0.85207575881162,0.7744419011376169,0.25,0.0,16,0.6354166666666667,0.6848375830939156,高相关-好预测
RUL,MICH,MICH,35.72089349456535,0.40866269590222687,41.59097598360201,0.9106623979599652,0.9912820433260053,0.40033445698007264,0.9221389338561805,40,8,5,0.5064231312771605,0.42206116633886814,0.9294795566397764,0.8850568449298256,0.375,0.125,16,0.8541666666666666,0.7736531776155875,高相关-好预测
RUL,MICH_EXP,MICH_EXP,73.82552794525613,2.1041820342046798,84.60135231616063,-0.5272931859412303,0.9815424959409769,1.3031734184230404,0.593148691493816,15,3,5,0.12628086351906,0.13282489004930959,0.2381660167277987,0.23669971593553998,0.0,0.0,16,0.5208333333333334,0.20038219872746624,低相关-好预测
RUL,NAion,NA-ion,25.695355605970555,1.0057536537425042,29.223479501058044,0.6282554508066877,0.9938932739653682,0.5364782274592179,0.8822404788663544,25,5,5,0.24959343080433505,0.15653504912823335,0.6849663604743345,0.5077693966433549,0.0,0.0,16,0.7916666666666666,0.4807763959740081,低相关-好预测
