target,task,dataset,model,mae,mape,rmse,r2,pearson_r,n_batteries,mean_feature_truth_corr,max_feature_truth_corr,top3_feature_truth_corr,n_valid_feature_corr
RUL,CALB,CALB,Attention,32.44233631950918,2.357039780516787,37.18107097644288,-0.7296277847642291,0.5245390614125534,5,0.13460890401848252,0.334454832836895,0.2533293979792701,16
RUL,CALB,CALB,CNN,32.470819072415125,1.9535770588444337,35.44023918398769,-1.609449205214989,0.625230753195654,5,0.13460890401848252,0.334454832836895,0.2533293979792701,16
RUL,CALB,CALB,GRU,30.14046465794727,2.835441897150641,34.483744921797104,-0.652563787451012,0.3647032644923816,5,0.13460890401848252,0.334454832836895,0.2533293979792701,16
RUL,CALB,CALB,LSTM,25.233605538108133,2.4544859280122764,29.35029583913761,-0.046435215875236004,,5,0.13460890401848252,0.334454832836895,0.2533293979792701,16
RUL,CALB,CALB,MLP,26.68726553352433,2.6259291493409407,30.81937566620014,-0.18869828923888524,0.4966872645539017,5,0.13460890401848252,0.334454832836895,0.2533293979792701,16
RUL,CALB2024,CALB,Attention,37.30591309392925,1.572106238581986,43.479365075309985,-0.6194848407431427,0.40919618609502884,5,0.13460890401848252,0.334454832836895,0.2533293979792701,16
RUL,CALB2024,CALB,CNN,93.09383876935028,3.9882525630769345,173.5073850971404,-26.838951986788864,0.49089143732433166,5,0.13460890401848252,0.334454832836895,0.2533293979792701,16
RUL,CALB2024,CALB,GRU,33.08340376510857,2.1608354758611092,39.11801012497453,-0.16670638117485953,,5,0.13460890401848252,0.334454832836895,0.2533293979792701,16
RUL,CALB2024,CALB,LSTM,33.10869228612015,2.1500237989350603,39.14822208858422,-0.16795223501886555,,5,0.13460890401848252,0.334454832836895,0.2533293979792701,16
RUL,CALB2024,CALB,MLP,33.08542800946298,2.159970044625756,39.12035614821809,-0.1668009989543942,,5,0.13460890401848252,0.334454832836895,0.2533293979792701,16
RUL,CALB42,CALB,Attention,28.117029491617224,1.3768922895217437,32.99295393471832,-0.5937657102367047,0.2782915692454333,5,0.13460890401848252,0.334454832836895,0.2533293979792701,16
RUL,CALB42,CALB,CNN,59.50791962136162,2.5853530506712508,63.719561510057474,-8.86982814693484,0.27539880467945016,5,0.13460890401848252,0.334454832836895,0.2533293979792701,16
RUL,CALB42,CALB,GRU,24.855444309350215,2.1724972568274206,28.7023077090939,-0.00065711016571658,,5,0.13460890401848252,0.334454832836895,0.2533293979792701,16
RUL,CALB42,CALB,LSTM,24.8554851992058,2.171564127762327,28.702359325238923,-0.0006605319339137199,,5,0.13460890401848252,0.334454832836895,0.2533293979792701,16
RUL,CALB42,CALB,MLP,24.855755248329856,2.16540145775436,28.703088862704288,-0.00071024910187232,,5,0.13460890401848252,0.334454832836895,0.2533293979792701,16
RUL,CALCE,CALCE,Attention,280.0501573743475,1.357014025754863,317.8079838893903,0.16837075188197692,0.8753230399027367,2,0.3094574615243322,0.759975479463217,0.6787922361404579,16
RUL,CALCE,CALCE,CNN,364.0615764715011,1.4683080969321094,400.68984097548065,-0.394370996243008,0.8867541455415118,2,0.3094574615243322,0.759975479463217,0.6787922361404579,16
RUL,CALCE,CALCE,GRU,478.3618414350294,3.3105696964439866,510.3544937641669,-1.4189041874917558,0.8660884930354136,2,0.3094574615243322,0.759975479463217,0.6787922361404579,16
RUL,CALCE,CALCE,LSTM,391.46393578990245,2.193989704640978,419.104692405565,-0.6606853596045029,0.898379105731094,2,0.3094574615243322,0.759975479463217,0.6787922361404579,16
RUL,CALCE,CALCE,MLP,537.7440726682742,2.5294755837855223,559.6303969312571,-2.6425559486973222,0.8959424270501444,2,0.3094574615243322,0.759975479463217,0.6787922361404579,16
RUL,HNEI,HNEI,Attention,18.960241626343695,0.30827037533578805,27.08036313127208,0.9925672379051409,0.996432991974131,2,0.8957209685412194,0.9801418602551693,0.978718710390693,16
RUL,HNEI,HNEI,CNN,28.723034189199332,0.2660507071087242,35.6578598255269,0.9873281395753353,0.9951666021334573,2,0.8957209685412194,0.9801418602551693,0.978718710390693,16
RUL,HNEI,HNEI,GRU,24.12106765476907,0.4773847769204863,36.52574298486357,0.9862304633648726,0.994406955078524,2,0.8957209685412194,0.9801418602551693,0.978718710390693,16
RUL,HNEI,HNEI,LSTM,26.967626228733824,0.3048113606095803,39.6406686923241,0.9827350690400162,0.9948699076865761,2,0.8957209685412194,0.9801418602551693,0.978718710390693,16
RUL,HNEI,HNEI,MLP,22.53819660730458,0.40004921865567616,34.24982323989549,0.9878911240572209,0.9948112868582848,2,0.8957209685412194,0.9801418602551693,0.978718710390693,16
RUL,HUST,HUST,Attention,161.80310328870198,1.031921546460629,202.8269431227507,0.815223482242024,0.9563540424050632,15,0.4656472153338205,0.8060191761837487,0.8036060288406301,16
RUL,HUST,HUST,CNN,170.47074292077963,1.3357066012933956,217.23964156073546,0.7716455546394354,0.94080373760524,15,0.4656472153338205,0.8060191761837487,0.8036060288406301,16
RUL,HUST,HUST,GRU,208.05692189503358,1.1244766619205284,253.39737690782107,0.7175287117295007,0.9451071433938948,15,0.4656472153338205,0.8060191761837487,0.8036060288406301,16
RUL,HUST,HUST,LSTM,158.97057283931608,1.0990384788449574,201.5405597197752,0.8206792357426731,0.9406725427126861,15,0.4656472153338205,0.8060191761837487,0.8036060288406301,16
RUL,HUST,HUST,MLP,166.04893010292264,1.2103113534459373,204.54322888567887,0.8108938379692383,0.9577506689867012,15,0.4656472153338205,0.8060191761837487,0.8036060288406301,16
RUL,ISU_ILCC,ISU_ILCC,Attention,1232.5869944917652,4.731904865677683,1513.6264292641374,-7.280846602518984,0.5892300744448369,48,0.10621189738340767,0.2243400565409862,0.2015850390214956,16
RUL,ISU_ILCC,ISU_ILCC,CNN,1089.821150078674,4.0545813712318335,1379.9818258096202,-6.056612807753591,0.6590073449790009,48,0.10621189738340767,0.2243400565409862,0.2015850390214956,16
RUL,ISU_ILCC,ISU_ILCC,GRU,1459.625403636507,5.399649631537948,1838.6237689711588,-11.670427632464984,0.5254432085698368,48,0.10621189738340767,0.2243400565409862,0.2015850390214956,16
RUL,ISU_ILCC,ISU_ILCC,LSTM,1264.6005268674035,3.8988598480514516,1592.5533257292307,-7.542471057480577,0.5441863722448663,48,0.10621189738340767,0.2243400565409862,0.2015850390214956,16
RUL,ISU_ILCC,ISU_ILCC,MLP,1444.8175322404893,5.7099611164058715,1750.4210150471981,-35.12172357881771,0.5238838954373196,48,0.10621189738340767,0.2243400565409862,0.2015850390214956,16
RUL,MATR,MATR,Attention,110.41442000055736,0.3709857165171264,136.3265566992211,0.6701526452069775,0.9728532815696276,33,0.4279950893325099,0.85207575881162,0.7744419011376169,16
RUL,MATR,MATR,CNN,108.10823220330795,0.43525287949015584,134.4577543287606,0.7123363576810362,0.9708551359188964,33,0.4279950893325099,0.85207575881162,0.7744419011376169,16
RUL,MATR,MATR,GRU,115.4974619732179,0.5114693473924706,145.5038157878306,0.648215206505044,0.9665725060319398,33,0.4279950893325099,0.85207575881162,0.7744419011376169,16
RUL,MATR,MATR,LSTM,116.81808481834372,0.46275537789029436,145.49112523919928,0.6527438188146066,0.9661133417625173,33,0.4279950893325099,0.85207575881162,0.7744419011376169,16
RUL,MATR,MATR,MLP,116.1899977358502,0.46574148193138365,141.42943354785103,0.6626908280244114,0.9747254758707024,33,0.4279950893325099,0.85207575881162,0.7744419011376169,16
RUL,MICH,MICH,Attention,34.761614999665035,0.3521236873797063,40.522337221113006,0.916793714189611,0.9892301199583226,8,0.5064231312771605,0.9294795566397764,0.8850568449298256,16
RUL,MICH,MICH,CNN,37.535229646515226,0.5075241470070438,44.0094919333217,0.9025148367066274,0.9895240603535131,8,0.5064231312771605,0.9294795566397764,0.8850568449298256,16
RUL,MICH,MICH,GRU,35.745573396884424,0.3868718392979686,41.26041711419529,0.9112132955580243,0.9935457395111637,8,0.5064231312771605,0.9294795566397764,0.8850568449298256,16
RUL,MICH,MICH,LSTM,34.838122786762995,0.34681055608254224,40.086839126234835,0.9153303840425525,0.9936694317578889,8,0.5064231312771605,0.9294795566397764,0.8850568449298256,16
RUL,MICH,MICH,MLP,35.72392664299909,0.4499832497438735,42.075794523145234,0.9074597593030108,0.9904408650491385,8,0.5064231312771605,0.9294795566397764,0.8850568449298256,16
RUL,MICH_EXP,MICH_EXP,Attention,38.45008631920917,0.834028423289377,45.77992751298738,0.739051884416588,0.9843875988845227,3,0.12628086351906,0.2381660167277987,0.23669971593553998,16
RUL,MICH_EXP,MICH_EXP,CNN,42.91751563851417,0.9350166727664803,50.00300093387963,0.7222494706303371,0.9866545788678446,3,0.12628086351906,0.2381660167277987,0.23669971593553998,16
RUL,MICH_EXP,MICH_EXP,GRU,43.38799935371929,1.0849617941529932,50.16734736069796,0.591377378566178,0.9735853100705635,3,0.12628086351906,0.2381660167277987,0.23669971593553998,16
RUL,MICH_EXP,MICH_EXP,LSTM,122.09779725370838,3.828370310058613,138.44661777741723,-2.3352051106095453,,3,0.12628086351906,0.2381660167277987,0.23669971593553998,16
RUL,MICH_EXP,MICH_EXP,MLP,122.27424116112962,3.8385329707559364,138.60986799582093,-2.3539395527097096,,3,0.12628086351906,0.2381660167277987,0.23669971593553998,16
RUL,NAion,NA-ion,Attention,22.291492647743535,0.753822117943999,23.966001954028503,0.730150073664594,0.9965683343888154,5,0.24959343080433505,0.6849663604743345,0.5077693966433549,8
