target,task,dataset,model,feature,mean_abs_error_sensitivity,mean_signed_error_sensitivity,mean_abs_rel_error_sensitivity,mean_abs_pred_link,n_batteries,mean_rows,feature_truth_spearman,feature_truth_abs_spearman
RUL,CALB,CALB,Attention,CC_Q,0.5300317245816771,0.19093957863238833,0.6073660881534826,0.8202515930241928,5,99.4,0.0725036631945506,0.0725036631945506
RUL,CALB,CALB,Attention,CC_charge_time,0.7119526524870894,0.3404028423722717,0.7935914235693116,0.8968702249850349,5,99.4,-0.1725495634468677,0.1725495634468677
RUL,CALB,CALB,Attention,CV_Q,0.14640110449077443,-0.04292058501025493,0.3045578274434417,0.3846852875300272,5,99.4,0.030383868366408,0.030383868366408
RUL,CALB,CALB,Attention,CV_charge_time,0.19312696054547954,-0.11526128723509008,0.32406839151870265,0.36208454859685085,5,99.4,0.0800986253438593,0.0800986253438593
RUL,CALB,CALB,Attention,current_entropy,0.2589082464374364,-0.23780164741799759,0.20418253138917386,0.2574869273397261,5,99.4,0.0309761214034229,0.0309761214034229
RUL,CALB,CALB,Attention,current_kurtosis,0.24486986657849447,-0.06935951554339101,0.13685557446971283,0.3406951144094001,5,99.4,0.1903639761933168,0.1903639761933168
RUL,CALB,CALB,Attention,current_mean,0.23352684656220718,0.02685657953550454,0.133612863327149,0.3525837726629806,5,99.4,-0.0005133826340508,0.0005133826340508
RUL,CALB,CALB,Attention,current_skewness,0.2244651077352633,-0.051215782802770046,0.14108580864398237,0.3397770226002192,5,99.4,0.2003852166069226,0.2003852166069226
RUL,CALB,CALB,Attention,current_slope,0.3451333051672514,-0.34028482031876656,0.43413280288685285,0.5257218293257897,5,99.4,0.1121033661408022,0.1121033661408022
RUL,CALB,CALB,Attention,current_std,0.25984491510375524,0.19663219383162805,0.2573409840037233,0.36534557945590473,5,99.4,0.0624465929776886,0.0624465929776886
RUL,CALB,CALB,Attention,voltage_entropy,0.18122393285007315,0.03915242523179295,0.17904004243799737,0.24568278535927068,5,99.4,0.1701593599612685,0.1701593599612685
RUL,CALB,CALB,Attention,voltage_kurtosis,0.6352700821102518,0.6352700821102518,0.7457477191438898,0.7955478486624172,5,99.4,-0.1925427373724663,0.1925427373724663
RUL,CALB,CALB,Attention,voltage_mean,0.23867426191817054,0.10507210170214894,0.38097171738168506,0.4155088758678079,5,99.4,-0.1107876475134164,0.1107876475134164
RUL,CALB,CALB,Attention,voltage_skewness,0.5645735104122656,-0.5413679898602104,0.7040277974357502,0.7603228567754734,5,99.4,0.334454832836895,0.334454832836895
RUL,CALB,CALB,Attention,voltage_slope,0.7243340252392587,-0.3784985274037608,0.8243404038278854,0.8552872511740969,5,99.4,0.1683253658097919,0.1683253658097919
RUL,CALB,CALB,Attention,voltage_std,0.6229261130194652,-0.5572411445226155,0.693408105885278,0.7179989835718265,5,99.4,0.2251481444939928,0.2251481444939928
RUL,CALB,CALB,CNN,CC_Q,0.6510138581458662,-0.045860003984939925,0.7336402757220242,0.6794808283415992,5,99.4,0.0725036631945506,0.0725036631945506
RUL,CALB,CALB,CNN,CC_charge_time,0.6848556917661177,-0.04006245309470291,0.8441781501932779,0.807857896446683,5,99.4,-0.1725495634468677,0.1725495634468677
RUL,CALB,CALB,CNN,CV_Q,0.2601340208159931,0.12736283499203674,0.3141518448866615,0.2971448922274215,5,99.4,0.030383868366408,0.030383868366408
RUL,CALB,CALB,CNN,CV_charge_time,0.3282720679898449,0.05228796251322008,0.3773785837838919,0.3168775725020028,5,99.4,0.0800986253438593,0.0800986253438593
RUL,CALB,CALB,CNN,current_entropy,0.2726560772177148,0.05816293611950738,0.29732039052569414,0.28495115141142663,5,99.4,0.0309761214034229,0.0309761214034229
RUL,CALB,CALB,CNN,current_kurtosis,0.18317152531579683,-0.12980458862212746,0.18076330738480956,0.16067509660899362,5,99.4,0.1903639761933168,0.1903639761933168
RUL,CALB,CALB,CNN,current_mean,0.19093943680082287,0.11293163602074488,0.1955986968358102,0.18768641588311546,5,99.4,-0.0005133826340508,0.0005133826340508
RUL,CALB,CALB,CNN,current_skewness,0.17103877734712242,-0.11015908937832557,0.17006221270138794,0.1722726209152414,5,99.4,0.2003852166069226,0.2003852166069226
RUL,CALB,CALB,CNN,current_slope,0.5155098366979555,-0.11635379048108892,0.5038065910525409,0.49154019269665283,5,99.4,0.1121033661408022,0.1121033661408022
RUL,CALB,CALB,CNN,current_std,0.21622226712467157,0.06734977987594679,0.24856357388316144,0.23830902611480814,5,99.4,0.0624465929776886,0.0624465929776886
RUL,CALB,CALB,CNN,voltage_entropy,0.24786665406608868,0.0932544744300777,0.2843591385902661,0.2699437165260316,5,99.4,0.1701593599612685,0.1701593599612685
RUL,CALB,CALB,CNN,voltage_kurtosis,0.5813183440793058,0.23394600684558248,0.710241085375106,0.8447504721146585,5,99.4,-0.1925427373724663,0.1925427373724663
RUL,CALB,CALB,CNN,voltage_mean,0.275122196160609,0.27427123233273976,0.36662212496175833,0.5125029972681269,5,99.4,-0.1107876475134164,0.1107876475134164
RUL,CALB,CALB,CNN,voltage_skewness,0.5237770470924643,-0.5237770470924643,0.6780824359734521,0.822418441185621,5,99.4,0.334454832836895,0.334454832836895
RUL,CALB,CALB,CNN,voltage_slope,0.6726597965919041,0.030429434780212716,0.86120490407972,0.8138234395959868,5,99.4,0.1683253658097919,0.1683253658097919
RUL,CALB,CALB,CNN,voltage_std,0.5108570938726527,-0.5108570938726527,0.6576590733763045,0.8392301897340962,5,99.4,0.2251481444939928,0.2251481444939928
RUL,CALB,CALB,GRU,CC_Q,0.6722856963374403,0.6266611126291707,0.8259501971806189,0.8100732111486583,5,99.4,0.0725036631945506,0.0725036631945506
RUL,CALB,CALB,GRU,CC_charge_time,0.5856368705892885,0.5386178201686029,0.8279999873882457,0.7349975726683268,5,99.4,-0.1725495634468677,0.1725495634468677
RUL,CALB,CALB,GRU,CV_Q,0.32739780226007553,0.32739780226007553,0.39384980029302546,0.37838723781521216,5,99.4,0.030383868366408,0.030383868366408
RUL,CALB,CALB,GRU,CV_charge_time,0.3874688936549574,0.3874688936549574,0.43262199764078113,0.4242434251942345,5,99.4,0.0800986253438593,0.0800986253438593
RUL,CALB,CALB,GRU,current_entropy,0.27237563677274335,-0.07720871794752641,0.2852044924071577,0.29534489827387383,5,99.4,0.0309761214034229,0.0309761214034229
RUL,CALB,CALB,GRU,current_kurtosis,0.42379786550083576,-0.07081009325422338,0.2713027689051252,0.23889236270565828,5,99.4,0.1903639761933168,0.1903639761933168
