target,task,model,experiment,battery_name,mae,mape,mse,rmse,max_ae,bias,r2,pearson_r,endpoint_ae,endpoint_ape
RUL,CALB,Attention,experiment1,CALB_0_B182,25.20282745361328,2.075465388771059,853.5709452734806,29.2159364948906,53.97419738769531,4.465522918701172,-0.0243875797918178,-0.974272896072488,53.97419738769531,
RUL,CALB,Attention,experiment1,CALB_25_T25-1,25.10384045225201,2.6444456731178434,851.6945100210512,29.183805612377753,54.8955078125,5.892669677734375,-0.0428912435017081,-0.7283642136711072,54.8955078125,54.8955078125
RUL,CALB,Attention,experiment1,CALB_35_B174,25.10157787438595,2.6452723700992724,851.645806066798,29.18297116584941,54.915626525878906,5.914126502143012,-0.0428316060063187,-0.0340380864249542,54.915626525878906,54.915626525878906
RUL,CALB,Attention,experiment1,CALB_35_B230,25.101305605185154,2.6453292114314797,851.6392197037842,29.18285831963319,54.91608047485352,5.915393752281112,-0.0428235410719641,0.3345820321018165,54.91608047485352,54.91608047485352
RUL,CALB,Attention,experiment1,CALB_45_B255,25.193002815246583,2.073011507558684,852.7138305503081,29.20126419438563,53.91521072387695,4.414974632263184,-0.0233589392532234,0.3664509655174303,53.91521072387695,
RUL,CALB,CNN,experiment1,CALB_0_B182,25.948877220153808,2.2828974286791466,926.4058074892536,30.436915209811485,59.095550537109375,9.524813575744629,-0.1117981560805658,-0.4452691341526906,59.095550537109375,
RUL,CALB,CNN,experiment1,CALB_25_T25-1,25.1519002818098,2.6840013143333668,858.7837047102091,29.305011597168992,55.66388702392578,6.8218988360780655,-0.0515718901159722,0.761113510229451,55.66388702392578,55.66388702392578
RUL,CALB,CNN,experiment1,CALB_35_B174,25.408168060610993,2.754402169512814,881.7536783725793,29.694337479940167,57.04088592529297,8.070004472828876,-0.0796983886598676,0.0237591760293276,57.04088592529297,57.04088592529297
RUL,CALB,CNN,experiment1,CALB_35_B230,25.402403937445747,2.7555309310246328,881.4343593639195,29.688960227059475,57.065895080566406,8.124963240189986,-0.0793073857895936,0.6151075494644248,57.065895080566406,57.065895080566406
RUL,CALB,CNN,experiment1,CALB_45_B255,25.44936111450195,2.1683845781125837,878.6325215295744,29.641736142297308,56.309452056884766,6.818409729003906,-0.0544644791859538,0.6224743065130274,56.309452056884766,
RUL,CALB,GRU,experiment1,CALB_0_B182,25.35112808227539,2.1370057014261197,868.7441871476715,29.474466698274146,55.513465881347656,6.0253852844238285,-0.042597291131182,0.8941396520289887,55.513465881347656,
RUL,CALB,GRU,experiment1,CALB_25_T25-1,25.226837582058376,2.6941593225042375,863.9773213495191,29.39349113918793,55.873931884765625,6.870538769346295,-0.0579314207358272,-0.8140398506264822,55.873931884765625,55.873931884765625
RUL,CALB,GRU,experiment1,CALB_35_B174,25.224042333737767,2.693631604773475,863.7496163814316,29.389617492941817,55.864837646484375,6.864172579062106,-0.0576525983241216,0.573615227188766,55.864837646484375,55.864837646484375
RUL,CALB,GRU,experiment1,CALB_35_B230,25.22411643134223,2.6936421354197955,863.7576320730586,29.38975386207,55.864444732666016,6.863727800773852,-0.0576624134567897,0.4381639723350998,55.864444732666016,55.864444732666016
RUL,CALB,GRU,experiment1,CALB_45_B255,25.285300941467284,2.110749081444274,861.8993895615208,29.358123059240704,54.85540771484375,5.355458335876465,-0.0343827125161668,0.4674820701235364,54.85540771484375,
RUL,CALB,LSTM,experiment1,CALB_0_B182,25.2097403717041,2.0803527775991513,854.3861217960193,29.229884053756,54.09740447998047,4.597404403686523,-0.0253658894562347,,54.09740447998047,
RUL,CALB,LSTM,experiment1,CALB_25_T25-1,25.12390152131668,2.654599818600159,853.8450018404402,29.22062630814816,55.09740447998047,6.097404402915878,-0.0455244988077774,,55.09740447998047,55.09740447998047
RUL,CALB,LSTM,experiment1,CALB_35_B174,25.12390152131668,2.654599818600159,853.8450018404402,29.22062630814816,55.09740447998047,6.097404402915878,-0.0455244988077774,,55.09740447998047,55.09740447998047
RUL,CALB,LSTM,experiment1,CALB_35_B230,25.12390152131668,2.654599818600159,853.8450018404402,29.22062630814816,55.09740447998047,6.097404402915878,-0.0455244988077774,,55.09740447998047,55.09740447998047
RUL,CALB,LSTM,experiment1,CALB_45_B255,25.2097403717041,2.0803527775991513,854.3861217960193,29.229884053756,54.09740447998047,4.597404403686523,-0.0253658894562347,,54.09740447998047,
RUL,CALB,MLP,experiment1,CALB_0_B182,25.832311058044432,2.2723419431778473,917.9783152403066,30.2981569611141,58.86954498291016,9.404620323181152,-0.1016841539154065,0.6675914209979147,58.86954498291016,
RUL,CALB,MLP,experiment1,CALB_25_T25-1,24.904656612511836,2.389613965929059,827.5665696735242,28.767456781466176,49.75945663452149,0.4401487870649858,-0.0133468265586595,-0.7594325714766916,49.75945663452149,49.75945663452149
RUL,CALB,MLP,experiment1,CALB_35_B174,24.642840992320668,2.35227973672887,810.3957332479891,28.467450417063855,49.31443786621094,0.1745613175209122,0.0076786875677002,0.5584453333841932,49.31443786621094,49.31443786621094
RUL,CALB,MLP,experiment1,CALB_35_B230,24.6614085496074,2.355056649492284,812.2332653465842,28.49970640807698,49.24501037597656,0.1237282030510179,0.0054286482487538,0.4924154860006375,49.24501037597656,49.24501037597656
